Lon,Lat,LMZ,Stat_Area,EEZ,LMZ_MA,Depth,Distant_Offshore
-74.2,38.35,NA,621,EEZ Nearshore Management Area 5,0,-54,0.8550248
-74.15,38.35,NA,621,EEZ Nearshore Management Area 5,0,-53,0.904908343
-74.1,38.35,NA,621,EEZ Nearshore Management Area 5,0,-59,0.945207422
-74.05,38.35,NA,621,EEZ Nearshore Management Area 5,0,-64,0.982069993
-74,38.35,NA,622,EEZ Nearshore Management Area 5,0,-63,1.020051896
-73.95,38.35,NA,622,EEZ Nearshore Management Area 5,0,-63,1.059032706
-73.9,38.35,NA,622,EEZ Nearshore Management Area 5,0,-68,1.098906125
-73.85,38.35,NA,622,EEZ Nearshore Management Area 5,0,-69,1.139578462
-73.8,38.35,NA,622,EEZ Offshore Management Area 3,0,-82,1.178336719
-73.75,38.35,NA,622,EEZ Offshore Management Area 3,0,-100,1.208723398
-73.7,38.35,NA,622,EEZ Offshore Management Area 3,0,-112,1.236768189
-73.65,38.35,NA,622,EEZ Offshore Management Area 3,0,-122,1.266166992
-73.6,38.35,NA,622,EEZ Offshore Management Area 3,0,-136,1.296827727
-73.55,38.35,NA,622,EEZ Offshore Management Area 3,0,-640,1.328663032
-73.5,38.35,NA,622,EEZ Offshore Management Area 3,0,-901,1.361590524
-73.45,38.35,NA,622,EEZ Offshore Management Area 3,0,-600,1.39532266
-73.4,38.35,NA,622,EEZ Offshore Management Area 3,0,-975,1.428698052
-73.35,38.35,NA,622,EEZ Offshore Management Area 3,0,-1301,1.463021163
-73.3,38.35,NA,622,EEZ Offshore Management Area 3,0,-1784,1.49822686
-73.25,38.35,NA,622,EEZ Offshore Management Area 3,0,-1757,1.534254387
-73.2,38.35,NA,622,EEZ Offshore Management Area 3,0,-2070,1.571047206
-73.15,38.35,NA,622,EEZ Offshore Management Area 3,0,-2213,1.60855101
-73.1,38.35,NA,622,EEZ Offshore Management Area 3,0,-2219,1.646347606
-73.05,38.35,NA,622,EEZ Offshore Management Area 3,0,-2309,1.684177199
-74.95,38.4,NA,621,EEZ Nearshore Management Area 5,0,-19,0.103401687
-74.9,38.4,NA,621,EEZ Nearshore Management Area 5,0,-18,0.153243626
-74.85,38.4,NA,621,EEZ Nearshore Management Area 5,0,-17,0.203163257
-74.8,38.4,NA,621,EEZ Nearshore Management Area 5,0,-25,0.253114616
-74.75,38.4,NA,621,EEZ Nearshore Management Area 5,0,-28,0.303082017
-74.7,38.4,NA,621,EEZ Nearshore Management Area 5,0,-32,0.353058648
-74.65,38.4,NA,621,EEZ Nearshore Management Area 5,0,-36,0.403041076
-74.6,38.4,NA,621,EEZ Nearshore Management Area 5,0,-30,0.453027382
-74.55,38.4,NA,621,EEZ Nearshore Management Area 5,0,-30,0.50301641
-74.5,38.4,NA,621,EEZ Nearshore Management Area 5,0,-36,0.553007422
-74.45,38.4,NA,621,EEZ Nearshore Management Area 5,0,-39,0.602999924
-74.4,38.4,NA,621,EEZ Nearshore Management Area 5,0,-44,0.652993575
-74.35,38.4,NA,621,EEZ Nearshore Management Area 5,0,-41,0.702988129
-74.3,38.4,NA,621,EEZ Nearshore Management Area 5,0,-45,0.752983406
-74.25,38.4,NA,621,EEZ Nearshore Management Area 5,0,-48,0.802979271
-74.2,38.4,NA,621,EEZ Nearshore Management Area 5,0,-53,0.83889509
-74.15,38.4,NA,621,EEZ Nearshore Management Area 5,0,-53,0.874522367
-74.1,38.4,NA,621,EEZ Nearshore Management Area 5,0,-59,0.911500834
-74.05,38.4,NA,621,EEZ Nearshore Management Area 5,0,-59,0.949672665
-74,38.4,NA,622,EEZ Nearshore Management Area 5,0,-59,0.988899677
-73.95,38.4,NA,622,EEZ Nearshore Management Area 5,0,-60,1.029061209
-73.9,38.4,NA,622,EEZ Nearshore Management Area 5,0,-64,1.069677906
-73.85,38.4,NA,622,EEZ Nearshore Management Area 5,0,-66,1.107968466
-73.8,38.4,NA,622,EEZ Offshore Management Area 3,0,-70,1.139614256
-73.75,38.4,NA,622,EEZ Offshore Management Area 3,0,-78,1.167177773
-73.7,38.4,NA,622,EEZ Offshore Management Area 3,0,-94,1.196196996
-73.65,38.4,NA,622,EEZ Offshore Management Area 3,0,-108,1.226568609
-73.6,38.4,NA,622,EEZ Offshore Management Area 3,0,-158,1.25819468
-73.55,38.4,NA,622,EEZ Offshore Management Area 3,0,-709,1.290983018
-73.5,38.4,NA,622,EEZ Offshore Management Area 3,0,-163,1.324783124
-73.45,38.4,NA,622,EEZ Offshore Management Area 3,0,-123,1.358051223
-73.4,38.4,NA,622,EEZ Offshore Management Area 3,0,-366,1.392320338
-73.35,38.4,NA,622,EEZ Offshore Management Area 3,0,-1000,1.42751838
-73.3,38.4,NA,622,EEZ Offshore Management Area 3,0,-1363,1.463578329
-73.25,38.4,NA,622,EEZ Offshore Management Area 3,0,-1658,1.500438044
-73.2,38.4,NA,622,EEZ Offshore Management Area 3,0,-1838,1.538021902
-73.15,38.4,NA,622,EEZ Offshore Management Area 3,0,-2116,1.575818498
-73.1,38.4,NA,622,EEZ Offshore Management Area 3,0,-2130,1.613690564
-73.05,38.4,NA,622,EEZ Offshore Management Area 3,0,-2186,1.651916048
-73,38.4,NA,622,EEZ Offshore Management Area 3,0,-2306,1.690548558
-72.95,38.4,NA,623,EEZ Offshore Management Area 3,0,-2416,1.729763634
-72.9,38.4,NA,623,EEZ Offshore Management Area 3,0,-2403,1.769522542
-74.95,38.45,NA,621,EEZ Nearshore Management Area 5,0,-12,0.103905636
-74.9,38.45,NA,621,EEZ Nearshore Management Area 5,0,-16,0.153889305
-74.85,38.45,NA,621,EEZ Nearshore Management Area 5,0,-20,0.203872975
-74.8,38.45,NA,621,EEZ Nearshore Management Area 5,0,-24,0.253856644
-74.75,38.45,NA,621,EEZ Nearshore Management Area 5,0,-29,0.303840314
-74.7,38.45,NA,621,EEZ Nearshore Management Area 5,0,-26,0.353823983
